,Unnamed: 0.1,survey,filename,order_in_survey,trustworthy,lively,natural,boring,empathetic,respectful,cold,engaging,following,file_order,Flesch_reading,num_word,Gender,Intensity,Pitch,Rate,bin_trustworthy,bin_lively,bin_natural,bin_boring,bin_empathetic,bin_respectful,bin_cold,bin_engaging,bin_following,norm_trustworthy,norm_lively,norm_natural,norm_boring,norm_empathetic,norm_respectful,norm_cold,norm_engaging,norm_following,Unnamed: 0,Duration,mean_pitch,mean_intensity,speaking_rate,number,text
10,10,1,6_F_intensity_x-soft_pitch_medium.wav,11,3.2,3.6,3.4,2.8,4.0,3.2,3.0,3.6,3.4,6,31.55,6,F,x-soft,medium.wav,medium,0,1,0,0,1,0,0,1,0,-0.167480917,0.255488560476092,0.067622888,2.8,0.7139435576046562,-0.152382304,-0.343068394,0.255488560476092,0.084880075,476,2.3226757369614512,159.74870572863554,63.50176874410023,154.99365420287026,6,6
11,12,1,7_F_intensity_x-loud_pitch_high_rate_fast.wav,13,3.6,3.0,3.2,3.0,2.8,2.8,3.4,3.8,3.4,7,104.64,9,F,x-loud,high,fast,1,0,0,0,0,0,0,1,0,0.2715583205243744,-0.299621825,-0.104618589,3.0,-0.613657719,-0.503557258,0.082059656,0.4594239926980715,0.036454515,38,1.6434920634920636,194.16469604393447,70.6362005,328.5686691133861,7,7
12,13,1,7_M_intensity_x-soft_pitch_high_rate_fast.wav,14,2.2,2.6,2.8,3.2,3.4,2.8,2.8,3.0,3.0,7,104.64,9,M,x-soft,high,fast,0,0,0,0,0,0,0,0,0,-1.228284434,-0.738661063,-0.550795391,3.2,0.1449219845014418,-0.517468445,-0.61031172,-0.38748611,-0.404743296,553,1.539002267573696,122.15444137889608,63.09445514969048,350.8766759982319,7,7
13,14,1,8_F_intensity_medium_pitch_medium_rate_slow.wav,15,3.2,3.0,3.2,2.8,3.6,3.6,3.8,3.6,3.4,8,87.72,9,F,medium,medium,slow,0,0,0,0,1,1,1,1,0,-0.090707402,-0.254016684,-0.030665492,2.8,0.3800257902862993,0.3365792213679833,0.5383560807863971,0.3183508885161352,0.1165740290977214,348,3.2108390022675737,168.10072420252035,64.74543254397861,168.1803415302476,8,8
14,15,1,8_M_intensity_x-loud_pitch_high_rate_slow.wav,16,3.6,4.4,3.8,2.2,3.0,4.0,3.8,4.0,3.6,8,87.72,9,M,x-loud,high,slow,1,1,1,0,0,1,1,1,1,0.212041991557776,1.109536226693177,0.4193234228532003,2.2,-0.37141635,0.6704969886863402,0.4816601699789564,0.6211002822716141,0.1981308043130593,715,3.2369614512471654,128.88815083819435,68.11416633,166.8231173380035,8,8
15,16,1,9_F_intensity_x-loud_pitch_high_rate_medium.wav,17,3.8,3.2,4.0,2.8,3.4,3.6,3.2,3.8,3.4,9,109.04,13,F,x-loud,high,medium,1,0,1,0,0,1,0,1,0,0.5088206991127977,-0.090707402,0.7161021304082219,2.8,0.051553128,0.3032522750015395,-0.152382304,0.5100081253826767,0.020384755,643,2.845124716553288,198.8177475040935,66.63808746,274.1531840280545,9,9
16,17,1,9_M_intensity_x-loud_pitch_low_rate_fast.wav,18,2.8,3.4,3.4,2.6,2.8,3.0,3.4,3.2,3.4,9,109.04,13,M,x-loud,low,fast,0,0,0,0,0,0,0,0,0,-0.547003827,0.079901084,0.09715827,2.6,-0.563073587,-0.283552065,0.079901084,-0.104618589,0.09715827,66,2.1136961451247167,86.98715513069219,62.33288630777567,369.02182075653866,9,9
17,18,1,10_F_intensity_medium_pitch_high_rate_slow.wav,19,3.4,3.6,2.8,2.8,2.8,3.4,3.0,3.6,3.2,10,50.5,4,F,medium,high,slow,0,1,0,0,0,0,0,1,0,0.095970844,0.350490409,-0.501398685,2.8,-0.503557258,0.082059656,-0.316879012,0.2888155068425359,-0.200807864,793,1.852471655328798,190.6931255155524,65.18904437974271,129.55663818640292,10,10
18,19,1,10_M_intensity_medium_pitch_low_rate_medium.wav,20,3.8,3.6,3.4,2.8,3.0,4.0,3.6,3.6,3.2,10,50.5,4,M,medium,low,medium,1,1,0,0,0,1,1,1,0,0.4471457973426336,0.255488560476092,0.053711701,2.8,-0.356317736,0.6827751840417782,0.3010937021979738,0.2221616141096483,-0.200807864,184,1.251655328798186,171.96251945680598,65.00495975580792,191.74607775644049,10,10
19,20,1,4_F_intensity_medium_pitch_low_rate_medium.wav,21,4.2,3.8,3.8,1.6,2.8,4.0,4.0,3.8,4.0,4,84.68,12,F,medium,low,medium,1,1,1,0,0,1,1,1,1,0.872273848,0.4483332236125126,0.4526503692196441,1.6,-0.608678728,0.6683384158827744,0.7756184593748203,0.4615825655016373,0.6806166112382124,387,2.792879818594104,125.92383924692132,66.41406866264433,257.79841839468685,4,4
