,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,survey,fname,order_in_survey,trustworthy,lively,natural,empathetic,respectful,cold,engaging,text,Flesch_reading,num_word,gender,pitch,intensity,rate,mean_pitch,mean_intensity,Duration,speaking_rate,base_name,normalized_filename
753,753,753,753,753,753,753,20,7_M_intensity_medium_pitch_low_rate_slow.mp3,14,0.223625463,0.451929817,-0.049224076,-0.202250103,0.249411905,-0.451470084,0.070599436,7,82.81,11,M,low,medium,slow,105.02343933103896,35.56807248207528,3.472063492063492,190.08868976867515,7_M_intensity_medium_pitch_low_rate_slow,7_M_intensity_medium_pitch_low_rate_slow.mp3
754,754,754,754,754,754,754,20,8_F_intensity_medium_pitch_high_rate_medium.mp3,15,0.419039793,0.715518891,0.169819812,-0.075086403,0.240151439,-1.551655283,1.119845896,8,96.18,9,F,high,medium,medium,211.0409699801029,67.11784088833609,2.009206349206349,238.9003002054037,8_F_intensity_medium_pitch_high_rate_medium,8_F_intensity_medium_pitch_high_rate_medium.mp3
755,755,755,755,755,755,755,20,8_M_intensity_medium_pitch_medium_rate_medium.mp3,16,0.625795585,0.651582027,0.651582027,-0.091688264,0.602090141,-0.717214832,0.651582027,8,96.18,9,M,medium,medium,medium,105.32878969319714,67.04635957945413,1.904716553287982,252.0060001428605,8_M_intensity_medium_pitch_medium_rate_medium,8_M_intensity_medium_pitch_medium_rate_medium.mp3
756,756,756,756,756,756,756,20,9_F_intensity_medium_pitch_medium_rate_fast.mp3,17,0.691889332,0.715518891,0.536706422,0.378732487,0.42112079,-0.966358927,0.263856883,9,83.32,5,F,medium,medium,fast,165.15742078940065,67.76523574485014,1.1493877551020408,261.00852272727275,9_F_intensity_medium_pitch_medium_rate_fast,9_F_intensity_medium_pitch_medium_rate_fast.mp3
757,757,757,757,757,757,757,20,9_M_intensity_soft_pitch_medium_rate_slow.mp3,18,0.898645125,1.077457593,0.352946046,0.155374834,0.849153239,-0.223088636,0.898645125,9,83.32,5,M,medium,medium,slow,105.10856600243284,65.47938536448213,1.591247166,188.5313648929803,9_M_intensity_medium_pitch_medium_rate_slow,9_M_intensity_medium_pitch_medium_rate_slow.mp3
758,758,758,758,758,758,758,20,10_F_intensity_loud_pitch_medium_rate_fast.mp3,19,0.155374834,-0.22316573,-1.493376356,-0.221008847,0.000191924,-0.700612971,-0.947677277,10,90.77,6,F,medium,medium,fast,161.1194360738936,70.34995881247349,1.1210430839002268,321.1294955297544,10_F_intensity_medium_pitch_medium_rate_fast,10_F_intensity_medium_pitch_medium_rate_fast.mp3
759,759,759,759,759,759,759,20,10_M_intensity_medium_pitch_medium_rate_fast.mp3,20,0.174133577,0.199920019,0.115144621,-0.406924899,-0.406924899,-0.970672693,0.115144621,10,90.77,6,M,medium,medium,fast,116.96853388253588,68.03018877556559,1.0687981859410431,336.8269189969024,10_M_intensity_medium_pitch_medium_rate_fast,10_M_intensity_medium_pitch_medium_rate_fast.mp3
760,760,760,760,760,760,760,21,1_F_intensity_soft_pitch_medium_rate_fast.mp3,1,0.736020248,0.508453168,0.376539363,-0.883879047,0.003029631,-1.85970966,-0.04827639,1,100.75,9,F,medium,medium,fast,164.39096574014476,11.11686246588226,2.089795918367347,258.39843749999994,1_F_intensity_medium_pitch_medium_rate_fast,1_F_intensity_medium_pitch_medium_rate_fast.mp3
761,761,761,761,761,761,761,21,1_M_intensity_medium_pitch_low_rate_slow.mp3,2,-0.266866702,-0.563594418,0.188267458,-0.6473352,-0.039299622,-0.031311815,-0.614900438,1,100.75,9,M,low,medium,slow,102.93355931255122,32.10221384337095,2.8973696145124714,186.37594502794,1_M_intensity_medium_pitch_low_rate_slow,1_M_intensity_medium_pitch_low_rate_slow.mp3
762,762,762,762,762,762,762,21,2_F_intensity_medium_pitch_low_rate_medium.mp3,3,0.30424573,0.183779074,0.012006398,-0.076222768,0.53181281,-1.178025063,0.30424573,2,92.29,9,F,low,medium,medium,130.86213513140163,32.32405408287865,2.688390022675737,200.8637122758481,2_F_intensity_medium_pitch_low_rate_medium,2_F_intensity_medium_pitch_low_rate_medium.mp3
763,763,763,763,763,763,763,21,2_M_intensity_medium_pitch_high_rate_slow.mp3,4,-0.039299622,0.016494781,0.016494781,-0.039299622,0.360040134,-1.006252387,0.016494781,2,92.29,9,M,high,medium,slow,129.0644964105777,32.84639641,2.975736961451247,181.46765221367065,2_M_intensity_medium_pitch_high_rate_slow,2_M_intensity_medium_pitch_high_rate_slow.mp3
764,764,764,764,764,764,764,21,3_F_intensity_medium_pitch_medium_rate_medium.mp3,5,0.968075711,0.740508631,0.796303035,-0.095094026,0.360040134,-1.530547183,0.188267458,3,100.24,5,F,medium,medium,medium,162.5999447901646,69.80595893302946,1.1994104308390023,250.122887284002,3_F_intensity_medium_pitch_medium_rate_medium,3_F_intensity_medium_pitch_medium_rate_medium.mp3
765,765,765,765,765,765,765,21,3_M_intensity_medium_pitch_low_rate_fast.mp3,6,0.285374471,0.684714227,-0.006864861,-0.271355086,-0.220049066,-1.530547183,-0.215560682,3,100.24,5,M,low,medium,fast,221.85313443087696,66.49199333307642,0.8336961451247166,359.8433335146603,3_M_intensity_medium_pitch_low_rate_fast,3_M_intensity_medium_pitch_low_rate_fast.mp3
766,766,766,766,766,766,766,21,4_F_intensity_soft_pitch_medium_rate_slow.mp3,7,0.740508631,0.341168875,0.968075711,-0.095094026,0.53181281,-0.774196924,0.360040134,4,115.13,7,F,medium,medium,slow,157.40104925427707,66.73929975883725,1.852471655328798,226.72411682620512,4_F_intensity_medium_pitch_medium_rate_slow,4_F_intensity_medium_pitch_medium_rate_slow.mp3
